rank,handle,rating,uncertainty,games,win_rate,activity
132,J_,2044,49,1409,53.6,last 2 weeks
133,Der Klabautermann,2042,54,1911,64.1,last 2 weeks
134,Shulk,2036,237,72,52.8,last 2 weeks
135,CNZS_打你如虐汪,2036,190,62,25.8,15–30 days
136,Legion64,2032,69,984,47.7,last 2 weeks
137,RoadTo19X,2032,117,238,45.0,last 2 weeks
138,Ovenka,2028,215,58,48.3,15–30 days
139,EagleWarrior420,2027,144,140,62.9,15–30 days
140,Jinada,2022,47,1358,53.9,last 2 weeks
141,Eugenius,2017,221,134,51.5,last 2 weeks
142,SbS | 1 Fuchs,2017,82,581,49.1,last 2 weeks
143,sidewire,2017,36,4288,53.9,last 2 weeks
144,ceepki,2013,61,852,53.4,last 2 weeks
145,NOC | shiXo.#,2010,142,208,35.1,last 2 weeks
146,RuFF Holland,2006,92,486,46.1,15–30 days
147,RageOfEmpires,2002,77,983,56.7,last 2 weeks
148,Waan,2000,53,1089,61.2,last 2 weeks
149,Hadeo,1992,104,187,52.9,15–30 days
150,DK | Kongen_42,1991,77,473,40.6,last 2 weeks
151,MatzeAoE,1990,39,2430,46.8,last 2 weeks
152,Rest in Pieces,1987,66,546,58.1,last 2 weeks
153,Black Bear,1982,42,3451,51.3,31–60 days
154,HaraKiri,1982,78,535,47.7,last 2 weeks
155,lllll,1976,132,121,52.1,15–30 days
156,KnightLifeAoC,1975,41,2798,47.7,15–30 days
157,[R1] Pume,1974,109,457,45.3,31–60 days
158,politician,1972,197,62,67.7,61–100 days
159,^.^dog9you~.~>.<,1970,97,326,37.1,last 2 weeks
160,Kr1lle,1968,67,1419,47.6,last 2 weeks
161,scorpion145,1968,40,3152,48.0,last 2 weeks
162,Hannibal,1966,80,792,42.8,15–30 days
163,SmilesBetray,1963,54,1187,57.5,last 2 weeks
164,OfficialNoob998,1960,234,62,62.9,last 2 weeks
165,Baby,1954,43,1966,56.3,last 2 weeks
166,Hanserino,1953,104,283,53.4,last 2 weeks
167,hK | SoyLaHostia,1953,188,53,41.5,last 2 weeks
168,Anette,1952,45,2152,59.2,last 2 weeks
169,_BOOM_SAMI_,1951,139,386,56.2,61–100 days
170,Vegetex,1948,51,989,52.5,last 2 weeks
171,Socartes,1946,45,3668,54.7,last 2 weeks
172,幾花丹色™,1946,91,306,56.2,last 2 weeks
173,KITCHIUYEAH,1945,39,2607,55.1,last 2 weeks
174,RoR | Ammiraglio,1943,196,92,44.6,15–30 days
175,White Knight,1942,150,163,55.2,last 2 weeks
